Year,Driver,Team,Best20pctLap,LapCount,Consistency,MonacoRaces,TotalSector
2022,ALB,Williams,78.24080000000001,167,5.447463724180337,3,81.902125748503
2022,ALO,Alpine,77.17433333333332,191,5.6725450488586535,3,81.72201570680629
2022,BOT,Alfa Romeo,77.88366666666667,189,5.881251172764417,3,82.31252380952381
2022,GAS,AlphaTauri,77.80959999999999,192,5.90649009321138,3,81.8674375
2022,HAM,Mercedes,77.84677777777779,188,5.675503957277712,3,80.66477659574468
2022,LAT,Williams,78.90222222222222,49,7.342054757264724,1,85.2439387755102
2022,LEC,Ferrari,76.66322222222222,193,5.835623603220202,3,80.7250725388601
2022,MAG,Haas F1 Team,94.3035,66,7.71989557022319,2,83.73834848484849
2022,MSC,Haas F1 Team,86.16,12,4.554149496488183,1,93.333
2022,NOR,McLaren,75.42244444444445,193,6.159406175991829,3,81.15415025906736
2022,OCO,Alpine,77.92788888888889,112,6.15468099866292,2,81.91930357142857
2022,PER,Red Bull Racing,76.435,111,7.102793226933334,2,82.35489189189188
2022,RIC,McLaren,77.77122222222222,119,4.942463721949394,2,81.66372268907563
2022,RUS,Mercedes,77.0451,194,5.928023790407641,3,80.87908762886599
2022,SAI,Ferrari,76.66279999999999,195,5.987867810656465,3,80.90917435897435
2022,STR,Aston Martin,77.96422222222222,172,4.8204843288224275,3,81.21460465116279
2022,TSU,AlphaTauri,77.30844444444443,182,5.6333230805652,3,81.70706043956044
2022,VER,Red Bull Racing,76.6326,194,5.902829109039039,3,80.5319587628866
2022,VET,Aston Martin,77.818,46,7.221737822257882,1,83.6610652173913
2022,ZHO,Alfa Romeo,78.91766666666666,178,4.622191687809728,3,81.81996629213484
2023,ALB,Williams,77.70723076923078,167,5.447463724180337,3,81.902125748503
2023,ALO,Aston Martin,76.97553846153845,191,5.6725450488586535,3,81.72201570680629
2023,BOT,Alfa Romeo,78.28807692307691,189,5.881251172764417,3,82.31252380952381
2023,DEV,AlphaTauri,77.96791666666667,64,5.267854256926844,1,81.8491875
2023,GAS,Alpine,76.93846153846154,192,5.90649009321138,3,81.8674375
2023,HAM,Mercedes,76.72099999999999,188,5.675503957277712,3,80.66477659574468
2023,HUL,Haas F1 Team,77.48946153846154,66,7.228636376385568,1,83.08912121212123
2023,LEC,Ferrari,76.85692307692308,193,5.835623603220202,3,80.7250725388601
2023,MAG,Haas F1 Team,78.47909090909091,66,7.71989557022319,2,83.73834848484849
2023,NOR,McLaren,78.04861538461539,193,6.159406175991829,3,81.15415025906736
2023,OCO,Alpine,76.95569230769232,112,6.15468099866292,2,81.91930357142857
2023,PER,Red Bull Racing,76.63966666666668,111,7.102793226933334,2,82.35489189189188
2023,PIA,McLaren,77.8903846153846,144,4.867616697273673,2,80.32780555555556
2023,RUS,Mercedes,77.204,194,5.928023790407641,3,80.87908762886599
2023,SAI,Ferrari,76.82461538461538,195,5.987867810656465,3,80.90917435897435
2023,SAR,Williams,77.57000000000001,135,5.14059559933138,2,81.62305925925926
2023,STR,Aston Martin,78.2929,172,4.8204843288224275,3,81.21460465116279
2023,TSU,AlphaTauri,77.98933333333332,182,5.6333230805652,3,81.70706043956044
2023,VER,Red Bull Racing,76.77753846153846,194,5.902829109039039,3,80.5319587628866
2023,ZHO,Alfa Romeo,77.38633333333333,178,4.622191687809728,3,81.81996629213484
2024,ALB,Williams,78.0128,167,5.447463724180337,3,81.902125748503
2024,ALO,Aston Martin,78.48299999999998,191,5.6725450488586535,3,81.72201570680629
2024,BOT,Kick Sauber,77.865,189,5.881251172764417,3,82.31252380952381
2024,GAS,Alpine,78.06326666666665,192,5.90649009321138,3,81.8674375
2024,HAM,Mercedes,75.16239999999999,188,5.675503957277712,3,80.66477659574468
2024,LEC,Ferrari,76.22160000000001,193,5.835623603220202,3,80.7250725388601
2024,NOR,McLaren,76.39853333333333,193,6.159406175991829,3,81.15415025906736
2024,PIA,McLaren,76.64966666666666,144,4.867616697273673,2,80.32780555555556
2024,RIC,RB,78.27371428571428,119,4.942463721949394,2,81.66372268907563
2024,RUS,Mercedes,75.7482,194,5.928023790407641,3,80.87908762886599
2024,SAI,Ferrari,76.14366666666666,195,5.987867810656465,3,80.90917435897435
2024,SAR,Williams,76.23321428571428,135,5.14059559933138,2,81.62305925925926
2024,STR,Aston Martin,77.62307142857142,172,4.8204843288224275,3,81.21460465116279
2024,TSU,RB,77.06073333333333,182,5.6333230805652,3,81.70706043956044
2024,VER,Red Bull Racing,75.33166666666668,194,5.902829109039039,3,80.5319587628866
2024,ZHO,Kick Sauber,78.36864285714286,178,4.622191687809728,3,81.81996629213484
