Driver,DriverName,Team,Session,LapNumber,Stint,Compound,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s
VER,VER,Red Bull Racing,FP1,1.0,1.0,MEDIUM,102.03,28.052,49.466,24.512
VER,VER,Red Bull Racing,FP1,2.0,1.0,MEDIUM,78.049,20.929,36.583,20.537
VER,VER,Red Bull Racing,FP1,3.0,1.0,MEDIUM,100.449,25.065,49.473,25.911
VER,VER,Red Bull Racing,FP1,4.0,1.0,MEDIUM,75.625,20.154,35.585,19.886
VER,VER,Red Bull Racing,FP1,5.0,1.0,MEDIUM,97.846,25.751,50.907,21.188
VER,VER,Red Bull Racing,FP1,6.0,1.0,MEDIUM,74.833,19.719,35.227,19.887
VER,VER,Red Bull Racing,FP1,7.0,1.0,MEDIUM,105.566,26.041,55.098,24.427
VER,VER,Red Bull Racing,FP1,8.0,1.0,MEDIUM,73.974,19.417,34.956,19.601
VER,VER,Red Bull Racing,FP1,10.0,2.0,MEDIUM,88.097,25.985,40.48,21.632
VER,VER,Red Bull Racing,FP1,11.0,2.0,MEDIUM,84.463,19.337,38.446,26.68
VER,VER,Red Bull Racing,FP1,12.0,2.0,MEDIUM,73.762,19.294,34.803,19.665
VER,VER,Red Bull Racing,FP1,13.0,2.0,MEDIUM,92.923,26.328,43.665,22.93
VER,VER,Red Bull Racing,FP1,14.0,2.0,MEDIUM,73.476,19.145,34.713,19.618
VER,VER,Red Bull Racing,FP1,15.0,2.0,MEDIUM,103.18,27.626,51.908,23.646
VER,VER,Red Bull Racing,FP1,16.0,2.0,MEDIUM,113.637,19.147,41.636,52.854
VER,VER,Red Bull Racing,FP1,17.0,3.0,MEDIUM,88.863,27.605,40.133,21.125
VER,VER,Red Bull Racing,FP1,18.0,3.0,MEDIUM,73.516,19.118,34.743,19.655
VER,VER,Red Bull Racing,FP1,21.0,5.0,MEDIUM,92.945,25.074,38.366,29.505
VER,VER,Red Bull Racing,FP1,22.0,5.0,MEDIUM,84.837,19.214,36.498,29.125
VER,VER,Red Bull Racing,FP1,23.0,5.0,MEDIUM,72.984,19.063,34.52,19.401
VER,VER,Red Bull Racing,FP1,24.0,5.0,MEDIUM,100.807,25.892,51.635,23.28
VER,VER,Red Bull Racing,FP1,25.0,5.0,MEDIUM,81.521,19.082,34.342,28.097
VER,VER,Red Bull Racing,FP1,26.0,5.0,MEDIUM,95.037,25.77,45.534,23.733
VER,VER,Red Bull Racing,FP1,27.0,5.0,MEDIUM,83.439,20.53,40.658,22.251
VER,VER,Red Bull Racing,FP1,28.0,5.0,MEDIUM,119.203,27.613,42.815,48.775
SAR,SAR,Williams,FP1,1.0,1.0,HARD,97.927,32.359,41.663,23.905
SAR,SAR,Williams,FP1,2.0,1.0,HARD,80.371,21.654,37.456,21.261
SAR,SAR,Williams,FP1,3.0,1.0,HARD,83.174,20.774,38.882,23.518
SAR,SAR,Williams,FP1,4.0,1.0,HARD,77.557,20.634,36.193,20.73
SAR,SAR,Williams,FP1,5.0,1.0,HARD,76.493,20.345,35.876,20.272
SAR,SAR,Williams,FP1,6.0,1.0,HARD,104.236,28.041,47.761,28.434
SAR,SAR,Williams,FP1,7.0,1.0,HARD,76.24,20.25,35.745,20.245
SAR,SAR,Williams,FP1,8.0,1.0,HARD,103.364,24.786,48.469,30.109
SAR,SAR,Williams,FP1,9.0,1.0,HARD,75.801,20.103,35.509,20.189
SAR,SAR,Williams,FP1,10.0,1.0,HARD,103.071,20.204,41.043,41.824
SAR,SAR,Williams,FP1,11.0,1.0,HARD,107.098,28.355,50.224,28.519
SAR,SAR,Williams,FP1,12.0,1.0,HARD,75.769,19.942,35.843,19.984
SAR,SAR,Williams,FP1,14.0,2.0,MEDIUM,89.04,26.493,38.511,24.036
SAR,SAR,Williams,FP1,15.0,2.0,MEDIUM,76.647,20.668,35.79,20.189
SAR,SAR,Williams,FP1,16.0,2.0,MEDIUM,75.74,19.544,35.051,21.145
SAR,SAR,Williams,FP1,17.0,2.0,MEDIUM,91.164,23.704,42.82,24.64
SAR,SAR,Williams,FP1,18.0,2.0,MEDIUM,74.773,19.715,34.917,20.141
SAR,SAR,Williams,FP1,19.0,2.0,MEDIUM,100.391,26.422,46.297,27.672
SAR,SAR,Williams,FP1,21.0,3.0,MEDIUM,93.273,31.414,38.132,23.727
SAR,SAR,Williams,FP1,22.0,3.0,MEDIUM,84.266,20.107,36.793,27.366
SAR,SAR,Williams,FP1,23.0,3.0,MEDIUM,74.824,19.537,35.417,19.87
SAR,SAR,Williams,FP1,24.0,3.0,MEDIUM,95.529,26.2,43.486,25.843
SAR,SAR,Williams,FP1,25.0,3.0,MEDIUM,74.15,19.53,34.969,19.651
SAR,SAR,Williams,FP1,27.0,4.0,HARD,93.03,34.028,38.098,20.904
SAR,SAR,Williams,FP1,28.0,4.0,HARD,83.286,20.135,35.558,27.593
SAR,SAR,Williams,FP1,29.0,4.0,HARD,76.033,20.258,35.554,20.221
SAR,SAR,Williams,FP1,30.0,4.0,HARD,79.201,19.923,35.443,23.835
SAR,SAR,Williams,FP1,31.0,4.0,HARD,75.942,20.288,35.498,20.156
SAR,SAR,Williams,FP1,32.0,4.0,HARD,75.804,19.903,35.738,20.163
SAR,SAR,Williams,FP1,33.0,4.0,HARD,77.728,19.788,37.494,20.446
SAR,SAR,Williams,FP1,34.0,4.0,HARD,75.889,19.999,35.63,20.26
SAR,SAR,Williams,FP1,35.0,4.0,HARD,138.791,28.67,46.949,63.172
RIC,RIC,RB,FP1,1.0,1.0,MEDIUM,97.921,29.429,41.9,26.592
RIC,RIC,RB,FP1,2.0,1.0,MEDIUM,81.532,21.827,37.597,22.108
RIC,RIC,RB,FP1,3.0,1.0,MEDIUM,82.749,21.165,36.945,24.639
RIC,RIC,RB,FP1,4.0,1.0,MEDIUM,77.173,20.587,35.991,20.595
RIC,RIC,RB,FP1,5.0,1.0,MEDIUM,76.175,20.284,35.552,20.339
RIC,RIC,RB,FP1,6.0,1.0,MEDIUM,106.27,29.296,51.733,25.241
RIC,RIC,RB,FP1,7.0,1.0,MEDIUM,75.817,20.236,35.522,20.059
RIC,RIC,RB,FP1,8.0,1.0,MEDIUM,106.481,29.44,50.754,26.287
RIC,RIC,RB,FP1,9.0,1.0,MEDIUM,79.307,20.086,35.99,23.231
RIC,RIC,RB,FP1,10.0,1.0,MEDIUM,75.114,19.849,35.269,19.996
RIC,RIC,RB,FP1,11.0,1.0,MEDIUM,102.641,28.21,48.956,25.475
RIC,RIC,RB,FP1,12.0,1.0,MEDIUM,75.044,19.814,35.084,20.146
RIC,RIC,RB,FP1,13.0,1.0,MEDIUM,99.062,30.295,45.534,23.233
RIC,RIC,RB,FP1,14.0,1.0,MEDIUM,74.663,19.718,35.142,19.803
RIC,RIC,RB,FP1,15.0,1.0,MEDIUM,95.681,22.352,47.58,25.749
RIC,RIC,RB,FP1,16.0,1.0,MEDIUM,74.275,19.561,34.989,19.725
RIC,RIC,RB,FP1,18.0,2.0,SOFT,101.085,27.923,44.044,29.118
RIC,RIC,RB,FP1,19.0,2.0,SOFT,92.678,19.478,39.831,33.369
RIC,RIC,RB,FP1,20.0,2.0,SOFT,73.649,19.461,34.573,19.615
RIC,RIC,RB,FP1,21.0,2.0,SOFT,115.676,31.547,54.905,29.224
RIC,RIC,RB,FP1,22.0,2.0,SOFT,73.488,19.42,34.526,19.542
RIC,RIC,RB,FP1,23.0,2.0,SOFT,117.895,36.884,54.92,26.091
RIC,RIC,RB,FP1,24.0,2.0,SOFT,80.759,19.499,38.134,23.126
RIC,RIC,RB,FP1,25.0,2.0,SOFT,72.901,19.156,34.335,19.41
RIC,RIC,RB,FP1,26.0,2.0,SOFT,115.727,30.082,54.1,31.545
RIC,RIC,RB,FP1,28.0,3.0,SOFT,100.432,34.2,42.007,24.225
RIC,RIC,RB,FP1,29.0,3.0,SOFT,83.452,22.446,37.557,23.449
RIC,RIC,RB,FP1,30.0,3.0,SOFT,74.472,19.264,34.416,20.792
RIC,RIC,RB,FP1,31.0,3.0,SOFT,76.654,19.214,34.61,22.83
RIC,RIC,RB,FP1,32.0,3.0,SOFT,90.549,24.82,43.626,22.103
RIC,RIC,RB,FP1,33.0,3.0,SOFT,92.747,19.224,46.57,26.953
RIC,RIC,RB,FP1,34.0,3.0,SOFT,75.017,19.312,34.864,20.841
RIC,RIC,RB,FP1,35.0,3.0,SOFT,144.868,31.192,51.549,62.127
NOR,NOR,McLaren,FP1,1.0,1.0,HARD,97.812,28.115,45.107,24.59
NOR,NOR,McLaren,FP1,2.0,1.0,HARD,78.396,20.973,36.648,20.775
NOR,NOR,McLaren,FP1,3.0,1.0,HARD,87.613,26.76,39.839,21.014
NOR,NOR,McLaren,FP1,4.0,1.0,HARD,75.294,19.949,35.284,20.061
NOR,NOR,McLaren,FP1,5.0,1.0,HARD,82.772,19.691,38.139,24.942
NOR,NOR,McLaren,FP1,6.0,1.0,HARD,74.757,19.691,35.193,19.873
NOR,NOR,McLaren,FP1,7.0,1.0,HARD,94.243,23.271,48.984,21.988
NOR,NOR,McLaren,FP1,8.0,1.0,HARD,74.573,19.605,34.954,20.014
NOR,NOR,McLaren,FP1,9.0,1.0,HARD,98.959,22.501,44.37,32.088
NOR,NOR,McLaren,FP1,10.0,1.0,HARD,74.227,19.666,34.853,19.708
NOR,NOR,McLaren,FP1,11.0,1.0,HARD,99.465,22.908,45.184,31.373
NOR,NOR,McLaren,FP1,12.0,1.0,HARD,73.934,19.473,34.735,19.726
NOR,NOR,McLaren,FP1,14.0,2.0,MEDIUM,93.964,31.19,42.028,20.746
NOR,NOR,McLaren,FP1,15.0,2.0,MEDIUM,74.106,19.491,34.865,19.75
NOR,NOR,McLaren,FP1,16.0,2.0,MEDIUM,84.263,21.838,41.011,21.414
NOR,NOR,McLaren,FP1,17.0,2.0,MEDIUM,73.226,19.362,34.39,19.474
NOR,NOR,McLaren,FP1,18.0,2.0,MEDIUM,97.993,23.543,45.533,28.917
NOR,NOR,McLaren,FP1,19.0,2.0,MEDIUM,73.639,19.227,34.793,19.619
