driver,grand_prix,sector1sessiontime,laptime,laptime_s,sector1time_s,sector2time_s,sector3time_s
VER,Bahrain GP 2023,nan,nan,,,,
VER,Bahrain GP 2023,nan,nan,,,53.666,38.509
VER,Bahrain GP 2023,0 days 00:30:01.546000,0 days 00:01:31.295000,91.295,29.152,39.195,22.948
VER,Bahrain GP 2023,0 days 00:31:39.304000,0 days 00:01:49.812000,109.812,35.615,44.953,29.244
VER,Bahrain GP 2023,nan,nan,,,53.39,45.107
VER,Bahrain GP 2023,0 days 00:40:54.666000,0 days 00:02:12.516000,132.516,48.978,48.136,35.402
VER,Bahrain GP 2023,nan,nan,,,56.693,30.799
VER,Bahrain GP 2023,0 days 00:54:13.636000,0 days 00:01:30.503000,90.503,28.925,38.915,22.663
VER,Bahrain GP 2023,0 days 00:55:54.118000,0 days 00:02:05.756000,125.756,38.904,53.517,33.335
VER,Bahrain GP 2023,nan,nan,,,52.962,27.476
VER,Bahrain GP 2023,0 days 01:14:50.038000,0 days 00:01:29.897000,89.897,28.722,38.645,22.53
VER,Bahrain GP 2023,0 days 01:16:29.765000,0 days 00:02:03.493000,123.493,38.552,53.439,31.502
VER,Bahrain GP 2023,nan,nan,,,53.775,27.224
VER,Bahrain GP 2023,0 days 01:22:53.500000,0 days 00:01:29.708000,89.708,28.736,38.514,22.458
VER,Bahrain GP 2023,0 days 01:24:33.205000,0 days 00:01:58.862000,118.862,38.733,48.236,31.893
PER,Bahrain GP 2023,nan,nan,,,,
PER,Bahrain GP 2023,nan,nan,,,44.684,39.395
PER,Bahrain GP 2023,0 days 00:31:04.524000,0 days 00:01:31.479000,91.479,29.218,39.397,22.864
PER,Bahrain GP 2023,0 days 00:32:43.214000,0 days 00:01:55.991000,115.991,36.429,48.097,31.465
PER,Bahrain GP 2023,nan,nan,,,55.601,49.918
PER,Bahrain GP 2023,0 days 00:40:47.834000,0 days 00:01:58.327000,118.327,29.006,52.64,36.681
PER,Bahrain GP 2023,nan,nan,,,58.846,31.901
PER,Bahrain GP 2023,0 days 00:54:21.061000,0 days 00:01:30.746000,90.746,28.964,38.997,22.785
PER,Bahrain GP 2023,0 days 00:56:00.477000,0 days 00:02:07.269000,127.269,37.634,56.338,33.297
PER,Bahrain GP 2023,nan,nan,,,53.31,27.172
PER,Bahrain GP 2023,0 days 01:14:55.750000,0 days 00:01:30.131000,90.131,28.846,38.747,22.538
PER,Bahrain GP 2023,0 days 01:16:36.087000,0 days 00:02:08.435000,128.435,39.052,55.536,33.847
PER,Bahrain GP 2023,nan,nan,,,56.069,26.478
PER,Bahrain GP 2023,0 days 01:22:59.620000,0 days 00:01:29.846000,89.846,28.723,38.537,22.586
PER,Bahrain GP 2023,0 days 01:24:38.434000,0 days 00:02:06.845000,126.845,37.691,51.586,37.568
LEC,Bahrain GP 2023,nan,nan,,,49.509,26.893
LEC,Bahrain GP 2023,0 days 00:18:04.181000,0 days 00:02:11.454000,131.454,40.852,62.365,28.237
LEC,Bahrain GP 2023,nan,nan,,,,
LEC,Bahrain GP 2023,nan,nan,,,59.445,27.088
LEC,Bahrain GP 2023,0 days 00:30:37.744000,0 days 00:01:31.094000,91.094,29.099,39.134,22.861
LEC,Bahrain GP 2023,0 days 00:32:22.823000,0 days 00:02:02.497000,122.497,43.084,49.614,29.799
LEC,Bahrain GP 2023,nan,nan,,,63.181,44.465
LEC,Bahrain GP 2023,0 days 00:40:24.799000,0 days 00:01:52.729000,112.729,30.002,51.176,31.551
LEC,Bahrain GP 2023,nan,nan,,,57.205,32.241
LEC,Bahrain GP 2023,0 days 00:53:58.824000,0 days 00:01:31.699000,91.699,29.301,39.434,22.964
LEC,Bahrain GP 2023,0 days 00:55:37.066000,0 days 00:01:55.386000,115.386,35.844,48.908,30.634
LEC,Bahrain GP 2023,nan,nan,,,52.362,29.183
LEC,Bahrain GP 2023,0 days 01:02:37.577000,0 days 00:01:30.282000,90.282,28.884,38.729,22.669
LEC,Bahrain GP 2023,0 days 01:04:17.590000,0 days 00:02:03.620000,123.62,38.615,53.102,31.903
LEC,Bahrain GP 2023,nan,nan,,,52.645,25.54
LEC,Bahrain GP 2023,0 days 01:15:03.685000,0 days 00:01:30,90.0,28.825,38.614,22.561
LEC,Bahrain GP 2023,0 days 01:16:44.069000,0 days 00:02:04.303000,124.303,39.209,52.946,32.148
SAI,Bahrain GP 2023,nan,nan,,,50.194,28.751
SAI,Bahrain GP 2023,0 days 00:17:59.880000,0 days 00:01:32.408000,92.408,29.425,39.878,23.105
SAI,Bahrain GP 2023,nan,nan,,,,
SAI,Bahrain GP 2023,nan,nan,,,48.863,33.359
SAI,Bahrain GP 2023,0 days 00:30:53.379000,0 days 00:01:30.993000,90.993,28.887,39.206,22.9
SAI,Bahrain GP 2023,0 days 00:32:31.662000,0 days 00:01:56.572000,116.572,36.177,49.274,31.121
SAI,Bahrain GP 2023,nan,nan,,,55.304,33.075
SAI,Bahrain GP 2023,0 days 00:54:05.328000,0 days 00:01:31.463000,91.463,29.184,39.406,22.873
SAI,Bahrain GP 2023,0 days 00:55:42.462000,0 days 00:01:53.372000,113.372,34.855,48.59,29.927
SAI,Bahrain GP 2023,nan,nan,,,53.244,29.086
SAI,Bahrain GP 2023,0 days 01:02:42.959000,0 days 00:01:30.515000,90.515,28.78,39.032,22.703
SAI,Bahrain GP 2023,0 days 01:04:21.446000,0 days 00:02:00.221000,120.221,36.752,51.66,31.809
SAI,Bahrain GP 2023,nan,nan,,,53.408,27.819
SAI,Bahrain GP 2023,0 days 01:15:11.054000,0 days 00:01:30.361000,90.361,28.735,38.965,22.661
SAI,Bahrain GP 2023,0 days 01:16:48.569000,0 days 00:01:58.932000,118.932,35.889,49.851,33.192
SAI,Bahrain GP 2023,nan,nan,,,57.316,28.139
SAI,Bahrain GP 2023,0 days 01:23:08.402000,0 days 00:01:30.154000,90.154,28.739,38.7,22.715
SAI,Bahrain GP 2023,0 days 01:24:47.802000,nan,,37.978,51.252,
ALO,Bahrain GP 2023,nan,nan,,,52.629,30.427
ALO,Bahrain GP 2023,0 days 00:30:08.458000,0 days 00:01:31.158000,91.158,29.259,39.038,22.861
ALO,Bahrain GP 2023,0 days 00:31:46.802000,0 days 00:01:59.475000,119.475,36.445,50.338,32.692
ALO,Bahrain GP 2023,nan,nan,,,51.738,44.553
ALO,Bahrain GP 2023,0 days 00:40:00.579000,0 days 00:01:31.228000,91.228,29.127,39.239,22.862
ALO,Bahrain GP 2023,0 days 00:41:36.647000,0 days 00:02:01.206000,121.206,33.967,50.526,36.713
ALO,Bahrain GP 2023,nan,nan,,,53.159,36.242
ALO,Bahrain GP 2023,0 days 00:53:30.774000,0 days 00:01:31.094000,91.094,29.132,39.075,22.887
ALO,Bahrain GP 2023,0 days 00:55:10.351000,0 days 00:01:59.908000,119.908,37.615,51.366,30.927
ALO,Bahrain GP 2023,nan,nan,,,55.38,30.033
ALO,Bahrain GP 2023,0 days 01:02:25.411000,0 days 00:01:30.645000,90.645,29.012,38.987,22.646
ALO,Bahrain GP 2023,0 days 01:04:07.114000,0 days 00:02:07.349000,127.349,40.07,53.19,34.089
ALO,Bahrain GP 2023,nan,nan,,,50.88,26.077
ALO,Bahrain GP 2023,0 days 01:18:49.628000,0 days 00:01:30.336000,90.336,28.852,38.774,22.71
ALO,Bahrain GP 2023,0 days 01:20:28.488000,0 days 00:02:07.179000,127.179,37.376,54.321,35.482
RUS,Bahrain GP 2023,nan,nan,,,52.355,38.303
RUS,Bahrain GP 2023,0 days 00:30:43.079000,0 days 00:01:31.057000,91.057,28.967,39.224,22.866
RUS,Bahrain GP 2023,0 days 00:32:24.594000,0 days 00:02:02.325000,122.325,39.425,51.184,31.716
RUS,Bahrain GP 2023,nan,nan,,,64.987,48.371
RUS,Bahrain GP 2023,0 days 00:40:39.819000,0 days 00:01:31.718000,91.718,29.295,39.432,22.991
RUS,Bahrain GP 2023,0 days 00:42:17.261000,0 days 00:01:54.122000,114.122,35.019,47.337,31.766
RUS,Bahrain GP 2023,nan,nan,,,61.133,31.66
RUS,Bahrain GP 2023,0 days 00:53:47.897000,0 days 00:01:31.086000,91.086,29.075,39.208,22.803
RUS,Bahrain GP 2023,0 days 00:55:27.537000,0 days 00:02:02.771000,122.771,37.629,53.2,31.942
RUS,Bahrain GP 2023,nan,nan,,,50.981,27.703
RUS,Bahrain GP 2023,0 days 01:02:54.297000,0 days 00:01:30.507000,90.507,28.845,39.046,22.616
RUS,Bahrain GP 2023,0 days 01:04:35.906000,0 days 00:02:04.146000,124.146,39.947,51.438,32.761
RUS,Bahrain GP 2023,nan,nan,,,52.295,26.318
RUS,Bahrain GP 2023,0 days 01:19:18.304000,0 days 00:01:30.340000,90.34,28.911,38.87,22.559
RUS,Bahrain GP 2023,0 days 01:21:02.188000,0 days 00:02:07.517000,127.517,42.455,50.405,34.657
HAM,Bahrain GP 2023,nan,nan,,,53.124,33.139
HAM,Bahrain GP 2023,0 days 00:30:47.755000,0 days 00:01:31.543000,91.543,29.062,39.442,23.039
HAM,Bahrain GP 2023,0 days 00:32:27.047000,0 days 00:01:59.841000,119.841,36.811,52.194,30.836
HAM,Bahrain GP 2023,nan,nan,,,61.262,51.358
HAM,Bahrain GP 2023,0 days 00:40:43.949000,0 days 00:01:31.654000,91.654,29.194,39.479,22.981
HAM,Bahrain GP 2023,0 days 00:42:18.703000,0 days 00:01:52.528000,112.528,32.294,48.82,31.414
HAM,Bahrain GP 2023,nan,nan,,,56.329,33.391
HAM,Bahrain GP 2023,0 days 00:53:51.246000,0 days 00:01:30.901000,90.901,28.94,39.166,22.795
HAM,Bahrain GP 2023,0 days 00:55:28.073000,0 days 00:01:51.818000,111.818,34.866,49.637,27.315
HAM,Bahrain GP 2023,nan,nan,,,51.295,30.536
HAM,Bahrain GP 2023,0 days 01:02:59.124000,0 days 00:01:30.513000,90.513,28.844,39.045,22.624
HAM,Bahrain GP 2023,0 days 01:04:36.738000,0 days 00:01:52.662000,112.662,35.945,48.97,27.747
HAM,Bahrain GP 2023,nan,nan,,,51.231,28.439
HAM,Bahrain GP 2023,0 days 01:19:23.125000,0 days 00:01:30.384000,90.384,28.939,38.829,22.616
HAM,Bahrain GP 2023,0 days 01:21:00.959000,0 days 00:01:55.864000,115.864,36.389,49.496,29.979
STR,Bahrain GP 2023,nan,nan,,,46.213,41.715
STR,Bahrain GP 2023,0 days 00:29:46.301000,0 days 00:01:31.617000,91.617,29.266,39.428,22.923000000000002
STR,Bahrain GP 2023,0 days 00:31:27.107000,0 days 00:02:00.732000,120.732,38.455,49.811,32.466
STR,Bahrain GP 2023,nan,nan,,,46.258,31.543
STR,Bahrain GP 2023,0 days 00:39:11.102000,0 days 00:01:31.184000,91.184,28.966,39.39,22.828
STR,Bahrain GP 2023,0 days 00:40:56.072000,0 days 00:02:01.837000,121.837,42.752,47.304,31.781
STR,Bahrain GP 2023,nan,nan,,,47.438,29.3
STR,Bahrain GP 2023,0 days 00:52:59.813000,0 days 00:01:32.305000,92.305,29.581,39.779,22.945
STR,Bahrain GP 2023,0 days 00:54:34.384000,0 days 00:01:50.402000,110.402,31.847,45.969,32.586
STR,Bahrain GP 2023,nan,nan,,,52.146,33.576
STR,Bahrain GP 2023,0 days 01:03:05.805000,0 days 00:01:31.127000,91.127,29.038,39.302,22.787
STR,Bahrain GP 2023,0 days 01:04:42.388000,0 days 00:01:57.549000,117.549,34.494,50.137,32.918
STR,Bahrain GP 2023,nan,nan,,,52.025,32.108
STR,Bahrain GP 2023,0 days 01:15:16.938000,0 days 00:01:31.926000,91.926,29.329,39.681,22.916
STR,Bahrain GP 2023,0 days 01:16:52.308000,0 days 00:01:51.189000,111.189,32.773,46.94,31.476
STR,Bahrain GP 2023,nan,nan,,,54.242,27.255
STR,Bahrain GP 2023,0 days 01:22:16.641000,0 days 00:01:30.836000,90.836,29.033,39.07,22.733
STR,Bahrain GP 2023,0 days 01:23:54.038000,nan,,35.586,55.846,
OCO,Bahrain GP 2023,nan,nan,,,60.129,27.304
OCO,Bahrain GP 2023,0 days 00:30:30.769000,0 days 00:01:31.688000,91.688,29.321,39.398,22.969
OCO,Bahrain GP 2023,0 days 00:32:09.170000,0 days 00:02:01.325000,121.325,36.034,51.9,33.391
OCO,Bahrain GP 2023,nan,nan,,,56.882,37.534
OCO,Bahrain GP 2023,0 days 00:39:52.349000,0 days 00:01:31.508000,91.508,29.221,39.356,22.931
OCO,Bahrain GP 2023,0 days 00:41:30.572000,0 days 00:01:58.465000,118.465,35.936,49.839,32.69
OCO,Bahrain GP 2023,nan,nan,,,50.713,32.995
OCO,Bahrain GP 2023,0 days 00:53:05.970000,0 days 00:01:32.367000,92.367,29.418,39.796,23.153
OCO,Bahrain GP 2023,0 days 00:54:45.397000,0 days 00:02:01.392000,121.392,36.478,52.398,32.516
OCO,Bahrain GP 2023,nan,nan,,,55.005,28.187
OCO,Bahrain GP 2023,0 days 01:01:56.898000,0 days 00:01:30.914000,90.914,29.111,39.107,22.696
OCO,Bahrain GP 2023,0 days 01:03:35.709000,0 days 00:02:04.634000,124.634,37.008,53.6,34.026
OCO,Bahrain GP 2023,nan,nan,,,56.871,27.161
OCO,Bahrain GP 2023,0 days 01:22:31.872000,0 days 00:01:30.984000,90.984,29.026,39.104,22.854
OCO,Bahrain GP 2023,0 days 01:24:16.725000,nan,,42.909,50.232,
HUL,Bahrain GP 2023,nan,nan,,,57.378,28.942
HUL,Bahrain GP 2023,0 days 00:18:50.343000,nan,,29.705,39.692,
HUL,Bahrain GP 2023,nan,nan,,,59.401,36.723
HUL,Bahrain GP 2023,0 days 00:29:54.939000,0 days 00:01:32.360000,92.36,29.533,39.687,23.14
HUL,Bahrain GP 2023,0 days 00:31:31.905000,0 days 00:01:49.425000,109.425,34.139,45.704,29.582
