time,driver,drivernumber,laptime,lapnumber,stint,pitouttime,pitintime,sector1time,sector2time,sector3time,sector1sessiontime,sector2sessiontime,sector3sessiontime,speedi1,speedi2,speedfl,speedst,ispersonalbest,compound,tyrelife,freshtyre,team,lapstarttime,lapstartdate,trackstatus,position,deleted,deletedreason,fastf1generated,isaccurate,lapstartdate_dt,time_s,time_td,laptime_s,laptime_td,pitouttime_s,pitouttime_td,pitintime_s,pitintime_td,sector1time_s,sector1time_td,sector2time_s,sector2time_td,sector3time_s,sector3time_td,sector1sessiontime_s,sector1sessiontime_td,sector2sessiontime_s,sector2sessiontime_td,sector3sessiontime_s,sector3sessiontime_td,lapstarttime_s,lapstarttime_td,pit_in_td,pit_out_td,pit_duration_s,grand_prix
0 days 00:27:20.459000,VER,1,nan,1.0,1.0,0 days 00:18:59.843000,0 days 00:21:06.934000,nan,nan,nan,nan,nan,nan,204.0,,,178.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:18:59.843000,2023-03-04 15:04:00.840,15,,False,nan,False,False,2023-03-04 15:04:00.840,1640.459,0 days 00:27:20.459000,,,1139.843,0 days 00:18:59.843000,1266.934,0 days 00:21:06.934000,,,,,,,,,,,,,1139.843,0 days 00:18:59.843000,0 days 00:21:06.934000,0 days 00:18:59.843000,127.091,Bahrain GP 2023
0 days 00:29:32.394000,VER,1,nan,2.0,2.0,0 days 00:27:20.459000,nan,nan,0 days 00:00:53.666000,0 days 00:00:38.509000,nan,0 days 00:28:53.926000,0 days 00:29:32.394000,219.0,217.0,288.0,141.0,False,SOFT,2.0,False,Red Bull Racing,0 days 00:27:20.459000,2023-03-04 15:12:21.456,1,,False,nan,False,False,2023-03-04 15:12:21.456,1772.394,0 days 00:29:32.394000,,,1640.459,0 days 00:27:20.459000,,,,,53.666,0 days 00:00:53.666000,38.509,0 days 00:00:38.509000,,,1733.926,0 days 00:28:53.926000,1772.394,0 days 00:29:32.394000,1640.459,0 days 00:27:20.459000,,0 days 00:27:20.459000,,Bahrain GP 2023
0 days 00:31:03.689000,VER,1,0 days 00:01:31.295000,3.0,2.0,nan,nan,0 days 00:00:29.152000,0 days 00:00:39.195000,0 days 00:00:22.948000,0 days 00:30:01.546000,0 days 00:30:40.741000,0 days 00:31:03.689000,240.0,270.0,288.0,322.0,True,SOFT,3.0,False,Red Bull Racing,0 days 00:29:32.394000,2023-03-04 15:14:33.391,1,,False,nan,False,True,2023-03-04 15:14:33.391,1863.689,0 days 00:31:03.689000,91.295,0 days 00:01:31.295000,,,,,29.152,0 days 00:00:29.152000,39.195,0 days 00:00:39.195000,22.948,0 days 00:00:22.948000,1801.546,0 days 00:30:01.546000,1840.741,0 days 00:30:40.741000,1863.689,0 days 00:31:03.689000,1772.394,0 days 00:29:32.394000,,,,Bahrain GP 2023
0 days 00:32:53.501000,VER,1,0 days 00:01:49.812000,4.0,2.0,nan,0 days 00:32:51.749000,0 days 00:00:35.615000,0 days 00:00:44.953000,0 days 00:00:29.244000,0 days 00:31:39.304000,0 days 00:32:24.257000,0 days 00:32:53.501000,205.0,215.0,,234.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:31:03.689000,2023-03-04 15:16:04.686,1,,False,nan,False,False,2023-03-04 15:16:04.686,1973.501,0 days 00:32:53.501000,109.812,0 days 00:01:49.812000,,,1971.749,0 days 00:32:51.749000,35.615,0 days 00:00:35.615000,44.953,0 days 00:00:44.953000,29.244,0 days 00:00:29.244000,1899.304,0 days 00:31:39.304000,1944.257,0 days 00:32:24.257000,1973.501,0 days 00:32:53.501000,1863.689,0 days 00:31:03.689000,0 days 00:32:51.749000,,,Bahrain GP 2023
0 days 00:40:05.688000,VER,1,nan,5.0,3.0,0 days 00:37:48.525000,nan,nan,0 days 00:00:53.390000,0 days 00:00:45.107000,nan,0 days 00:39:20.602000,0 days 00:40:05.820000,170.0,155.0,287.0,142.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:32:53.501000,2023-03-04 15:17:54.498,1,,False,nan,False,False,2023-03-04 15:17:54.498,2405.688,0 days 00:40:05.688000,,,2268.525,0 days 00:37:48.525000,,,,,53.39,0 days 00:00:53.390000,45.107,0 days 00:00:45.107000,,,2360.602,0 days 00:39:20.602000,2405.82,0 days 00:40:05.820000,1973.501,0 days 00:32:53.501000,,0 days 00:37:48.525000,,Bahrain GP 2023
0 days 00:42:18.204000,VER,1,0 days 00:02:12.516000,6.0,3.0,nan,0 days 00:42:16.255000,0 days 00:00:48.978000,0 days 00:00:48.136000,0 days 00:00:35.402000,0 days 00:40:54.666000,0 days 00:41:42.802000,0 days 00:42:18.204000,195.0,185.0,,135.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:40:05.688000,2023-03-04 15:25:06.685,1,,False,nan,False,False,2023-03-04 15:25:06.685,2538.204,0 days 00:42:18.204000,132.516,0 days 00:02:12.516000,,,2536.255,0 days 00:42:16.255000,48.978,0 days 00:00:48.978000,48.136,0 days 00:00:48.136000,35.402,0 days 00:00:35.402000,2454.666,0 days 00:40:54.666000,2502.802,0 days 00:41:42.802000,2538.204,0 days 00:42:18.204000,2405.688,0 days 00:40:05.688000,0 days 00:42:16.255000,,,Bahrain GP 2023
0 days 00:53:44.711000,VER,1,nan,7.0,4.0,0 days 00:51:39.792000,nan,nan,0 days 00:00:56.693000,0 days 00:00:30.799000,nan,0 days 00:53:13.946000,0 days 00:53:44.711000,182.0,172.0,289.0,171.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:42:18.204000,2023-03-04 15:27:19.201,1,,False,nan,False,False,2023-03-04 15:27:19.201,3224.711,0 days 00:53:44.711000,,,3099.792,0 days 00:51:39.792000,,,,,56.693,0 days 00:00:56.693000,30.799,0 days 00:00:30.799000,,,3193.946,0 days 00:53:13.946000,3224.711,0 days 00:53:44.711000,2538.204,0 days 00:42:18.204000,,0 days 00:51:39.792000,,Bahrain GP 2023
0 days 00:55:15.214000,VER,1,0 days 00:01:30.503000,8.0,4.0,nan,nan,0 days 00:00:28.925000,0 days 00:00:38.915000,0 days 00:00:22.663000,0 days 00:54:13.636000,0 days 00:54:52.551000,0 days 00:55:15.214000,240.0,270.0,288.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:53:44.711000,2023-03-04 15:38:45.708,1,,False,nan,False,True,2023-03-04 15:38:45.708,3315.214,0 days 00:55:15.214000,90.503,0 days 00:01:30.503000,,,,,28.925,0 days 00:00:28.925000,38.915,0 days 00:00:38.915000,22.663,0 days 00:00:22.663000,3253.636,0 days 00:54:13.636000,3292.551,0 days 00:54:52.551000,3315.214,0 days 00:55:15.214000,3224.711,0 days 00:53:44.711000,,,,Bahrain GP 2023
0 days 00:57:20.970000,VER,1,0 days 00:02:05.756000,9.0,4.0,nan,0 days 00:57:19.192000,0 days 00:00:38.904000,0 days 00:00:53.517000,0 days 00:00:33.335000,0 days 00:55:54.118000,0 days 00:56:47.635000,0 days 00:57:20.970000,158.0,184.0,,204.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:55:15.214000,2023-03-04 15:40:16.211,1,,False,nan,False,False,2023-03-04 15:40:16.211,3440.97,0 days 00:57:20.970000,125.756,0 days 00:02:05.756000,,,3439.192,0 days 00:57:19.192000,38.904,0 days 00:00:38.904000,53.517,0 days 00:00:53.517000,33.335,0 days 00:00:33.335000,3354.118,0 days 00:55:54.118000,3407.635,0 days 00:56:47.635000,3440.97,0 days 00:57:20.970000,3315.214,0 days 00:55:15.214000,0 days 00:57:19.192000,,,Bahrain GP 2023
0 days 01:14:21.316000,VER,1,nan,10.0,5.0,0 days 01:12:26.488000,nan,nan,0 days 00:00:52.962000,0 days 00:00:27.476000,nan,0 days 01:13:53.861000,0 days 01:14:21.345000,188.0,196.0,289.0,168.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:57:20.970000,2023-03-04 15:42:21.967,1,,False,nan,False,False,2023-03-04 15:42:21.967,4461.316,0 days 01:14:21.316000,,,4346.488,0 days 01:12:26.488000,,,,,52.962,0 days 00:00:52.962000,27.476,0 days 00:00:27.476000,,,4433.861,0 days 01:13:53.861000,4461.345,0 days 01:14:21.345000,3440.97,0 days 00:57:20.970000,,0 days 01:12:26.488000,,Bahrain GP 2023
